geoid,population,median_hh_income,poverty_total,poverty_below,total_households,snap_households
48201333903,3720.0,63494.0,3705.0,734.0,1297.0,160.0
48201340301,3541.0,218304.0,3541.0,26.0,1341.0,0.0
48201422000,2279.0,126417.0,2272.0,82.0,913.0,14.0
48201522002,3096.0,97356.0,2954.0,671.0,813.0,170.0
48201532101,3746.0,66076.0,3717.0,293.0,1640.0,114.0
48201532503,5605.0,93836.0,5605.0,777.0,1604.0,127.0
48201532504,4644.0,108854.0,4643.0,231.0,1251.0,217.0
48201532600,6375.0,53333.0,6375.0,971.0,2176.0,564.0
48201534101,2973.0,95994.0,2846.0,155.0,861.0,5.0
48201534102,5432.0,100333.0,5418.0,1121.0,1344.0,272.0
48201534204,4775.0,72234.0,4775.0,698.0,2042.0,95.0
48201534205,3760.0,86750.0,3760.0,453.0,1562.0,32.0
48201540101,7031.0,239125.0,7031.0,340.0,2350.0,0.0
48201540102,6316.0,71924.0,6316.0,1035.0,1895.0,139.0
48201540903,3562.0,63325.0,3562.0,350.0,1599.0,167.0
48201551201,4843.0,54877.0,4843.0,706.0,1567.0,221.0
48201551202,3674.0,89265.0,3674.0,256.0,1260.0,236.0
48201552401,5253.0,54375.0,5253.0,730.0,1944.0,412.0
48201552402,3108.0,109813.0,3108.0,184.0,1006.0,35.0
48201552501,5114.0,49431.0,5114.0,1830.0,1645.0,251.0
48201552502,6384.0,94063.0,6384.0,130.0,2163.0,314.0
48201552603,5595.0,51952.0,5552.0,2040.0,1721.0,518.0
48201552604,3025.0,92869.0,3025.0,700.0,1161.0,19.0
48201552702,6008.0,62810.0,5971.0,711.0,2615.0,133.0
48201552801,5357.0,89744.0,5307.0,784.0,2553.0,65.0
48201554807,6545.0,105436.0,6516.0,497.0,2195.0,197.0
48201210400,3628.0,54004.0,3628.0,858.0,1475.0,390.0
48201220300,3773.0,49536.0,3773.0,1107.0,1267.0,280.0
48201220400,4176.0,56200.0,4158.0,1230.0,1552.0,345.0
48201220500,3429.0,24835.0,3371.0,872.0,1561.0,712.0
48201220600,3168.0,,3168.0,1170.0,926.0,256.0
48201220800,3927.0,32955.0,3927.0,1890.0,1194.0,614.0
48201222800,4090.0,38514.0,4090.0,929.0,940.0,252.0
48201222900,7872.0,48733.0,7872.0,2350.0,2076.0,370.0
48201223100,2160.0,66250.0,2157.0,341.0,608.0,163.0
48201230100,1783.0,51389.0,1783.0,340.0,694.0,158.0
